rule_id,audit_decision,replacement_rule_ids,audit_note,experimental_results_inspected,rule_text,input_category,recommended_category,scenario_label,style_tags,colour_tags,occasion_tags,season_tags,gender_context,body_fit_context,formality_level,evidence_keywords,source_type,source_title,source_author_or_org,source_year,source_url_or_reference,source_reliability,source_reliability_reason,evidence_basis,rule_scope,rule_limitations,manual_verification_status,notes
R107,outside_taxonomy,,Removed because the input category is not one of the five frozen categories.,false,"For a slip or minimalist dress, recommend a structured blazer or tailored coat when the user wants smart-casual polish.",dresses,outerwear,smart_casual_styling,"smart casual, polished, minimal","black, neutral, tonal","smart casual, date night, evening","spring, autumn, winter",womenswear,balanced silhouette,smart casual,"minimal dress, slip dress, structured blazer, tailored coat, polish",fashion_magazine,A Celebrity Guide To Nailing A Smart Casual Dress Code,British Vogue,2023,https://www.vogue.co.uk/article/smart-casual-dress-code-celebrity-guide,high,Highly reputable fashion editorial source discussing smart-casual balance using visible outfit examples.,The source presents smart casual as mixing elegance and relaxed ease.,Best for minimal dresses needing outerwear polish.,May not apply to beach or athleisure dress styling.,verified,Use for smart-casual target outerwear recommendations.
R108,retained_or_rewritten,K022,Reassessed against its source and either conservatively rewritten into the replacement KB or superseded by a stronger rule.,false,"For jeans and a casual top, recommend a blazer when the user wants to elevate the outfit because blazer-and-jeans is a recognised high-low smart-casual formula.",bottoms,outerwear,smart_casual_styling,"smart casual, polished, classic","navy, black, grey, neutral","smart casual, work, dinner",all season,menswear,tailored,smart casual,"jeans, blazer, high low, smart casual, tailored outerwear",fashion_magazine,What Does Business Casual Attire Mean in 2025? A Guide for Men,GQ,2025,https://www.gq.com/story/business-casual-attire-for-men-explained,high,Reputable menswear editorial source giving dress-code guidance for work and business-casual contexts.,"The source describes dark jeans, unstructured blazers, sweaters and smart-looking shoes as business-casual-adjacent elements.",Best for denim outfits needing polish.,May not apply to offices where denim is prohibited.,verified,Use for elevating casual bottoms.
R109,retained_or_rewritten,K023,Reassessed against its source and either conservatively rewritten into the replacement KB or superseded by a stronger rule.,false,"For chinos, recommend an unstructured blazer or casual jacket when the outfit should read smart casual rather than formal.",bottoms,outerwear,smart_casual_styling,"smart casual, relaxed, refined","navy, beige, brown, neutral","smart casual, date night, work","spring, autumn",menswear,tailored,smart casual,"chinos, unstructured blazer, casual jacket, smart casual",fashion_magazine,How to style chinos and trainers,British GQ,2026,https://www.gq-magazine.co.uk/article/how-to-style-chinos-and-trainers,medium,"Reputable menswear editorial source, but rule is style-editorial rather than formal dress-code evidence.",The source says chinos with refined trainers can be made dinner-ready with a crisp shirt or unstructured blazer.,Best for chinos and smart-casual layering.,May not apply to formal business suits.,verified,Use when item text contains chinos.
R110,retained_or_rewritten,K024,Reassessed against its source and either conservatively rewritten into the replacement KB or superseded by a stronger rule.,false,"For tailored trousers, recommend a blazer or tailored coat when the user request is business casual or formal.",bottoms,outerwear,workwear_styling,"business casual, tailored, polished","black, navy, grey, neutral","work, business casual, formal",all season,general,tailored,business casual,"tailored trousers, blazer, tailored coat, workwear outerwear",fashion_magazine,What Does Business Casual Attire Mean in 2025? A Guide for Men,GQ,2025,https://www.gq.com/story/business-casual-attire-for-men-explained,high,Reputable menswear editorial source giving dress-code guidance for work and business-casual contexts.,The source positions blazers and smart pieces as core business-casual components.,Best for office bottoms to outerwear.,May not apply to casual trousers or creative styling.,verified,Use with workwear tags.
R111,retained_or_rewritten,,Reassessed against its source and either conservatively rewritten into the replacement KB or superseded by a stronger rule.,false,"For wide-leg trousers, recommend cropped or structured outerwear when the user wants balanced proportions, so the top layer does not add uncontrolled volume.",bottoms,outerwear,proportion_balance,"structured, polished, tailored","neutral, black, camel","work, smart casual, daytime","autumn, winter",womenswear,proportions,smart casual,"wide leg trousers, cropped jacket, structured coat, volume balance",retailer_style_guide,How to wear Wide-Leg Pants,Stitch Fix,2021,https://www.stitchfix.com/women/blog/?p=70798,medium,"Established styling service with practical stylist guidance, but commercial retailer context.",The source explains that wide-leg volume should be offset elsewhere in the outfit.,Best for wide-leg trouser outerwear.,May not apply to intentional oversized silhouettes.,verified,Use for silhouette scoring.
R112,retained_or_rewritten,,Reassessed against its source and either conservatively rewritten into the replacement KB or superseded by a stronger rule.,false,"For straight-leg jeans, recommend a blazer for polish or a casual jacket for daytime because straight-leg denim can be styled across several formality levels.",bottoms,outerwear,formality_matching,"casual, polished, classic","black, navy, denim, neutral","casual, work, daytime",all season,womenswear,balanced silhouette,smart casual,"straight leg jeans, blazer, casual jacket, denim formality",retailer_style_guide,How to Style Straight-Leg Jeans,Stitch Fix,2022,https://www.stitchfix.com/women/blog/?p=76873,medium,"Established styling service guide with explicit shoe/top advice for jeans, but commercial context.",The source shows straight-leg jeans styled with pieces such as a blazer and discusses adjusting shoes and tops by season.,Best for denim-to-outerwear recommendations.,May not apply to formal dress codes excluding denim.,verified,Use user_request formality to select blazer or casual jacket.
R113,retained_or_rewritten,K025,Reassessed against its source and either conservatively rewritten into the replacement KB or superseded by a stronger rule.,false,"For business-casual tops, recommend a blazer, structured cardigan or tailored coat when the outfit needs workplace polish.",tops,outerwear,workwear_styling,"business casual, polished, structured","black, navy, grey, neutral","work, business casual",all season,general,tailored,business casual,"business casual top, blazer, structured cardigan, tailored coat",retailer_style_guide,Business Casual Clothing And Styling,Stitch Fix,unknown,https://www.stitchfix.com/women/business-casual,medium,"Established styling service category guide, but publication date and evidence detail are limited.","The source uses structured work dresses, black pants and blazers in business-casual styling.",Best for office top-to-outerwear completion.,May not apply to casual offices or hot-weather contexts.,verified,Use when occasion_tags include work.
R114,retained_or_rewritten,K026,Reassessed against its source and either conservatively rewritten into the replacement KB or superseded by a stronger rule.,false,"For a casual tee, recommend a denim jacket, bomber or relaxed jacket when the target occasion is casual daytime.",tops,outerwear,casual_daytime_styling,"casual, relaxed, streetwear","denim, black, neutral, earth tones","casual, daytime, travel","spring, autumn",unisex,relaxed fit,casual,"casual tee, denim jacket, bomber jacket, relaxed outerwear",fashion_magazine,A Celebrity Guide To Nailing A Smart Casual Dress Code,British Vogue,2023,https://www.vogue.co.uk/article/smart-casual-dress-code-celebrity-guide,high,Highly reputable fashion editorial source discussing smart-casual balance using visible outfit examples.,The source frames relaxed pieces as part of casual/smart-casual dressing rather than formalwear.,Best for daytime casual layering.,May not apply to workwear or formal settings.,verified,Use to keep casual top recommendations coherent.
R115,citation_overreach,,Removed because the cited evidence supports a general method or design concept but not the concrete styling prescription.,false,"For a fitted top, recommend an outerwear layer with enough structure or length to balance the close-fitting upper garment.",tops,outerwear,silhouette_balance,"structured, polished, classic","neutral, black, camel","work, smart casual, daytime","autumn, winter, all season",general,balanced silhouette,smart casual,"fitted top, structured jacket, long coat, silhouette balance",book,Dressing the Man: Mastering the Art of Permanent Fashion,Alan Flusser,2002,"Flusser, Alan. Dressing the Man: Mastering the Art of Permanent Fashion. HarperCollins, 2002.",high,"Well-known menswear book focused on stable tailoring, proportion and classic dress principles.",The book supports proportion and balance as stable clothing principles.,Best for silhouette-aware top-to-outerwear recommendations.,Conservative proportion logic may not apply to experimental styling.,verified,Use when top fit metadata says fitted.
R116,citation_overreach,,Removed because the cited evidence supports a general method or design concept but not the concrete styling prescription.,false,"For an oversized top, recommend a straighter or relaxed outerwear layer only when the outfit intentionally uses a relaxed silhouette; otherwise choose cleaner structure.",tops,outerwear,proportion_balance,"relaxed, structured, casual","neutral, black, grey","casual, streetwear, daytime","autumn, winter",unisex,"oversized, proportions",casual,"oversized top, relaxed jacket, structured coat, proportion",academic_paper,Recommendation of Compatible Outfits Conditioned on Style,Debopriyo Banerjee et al.,2022,https://arxiv.org/abs/2203.16161,high,Academic recommender-system paper treating style conditioning as an explicit factor in outfit generation.,"The paper supports style-conditioned outfit generation, so oversized styling should follow the intended style theme.",Best for oversized or streetwear top outfits.,Needs user style preference to avoid over-correcting intentional volume.,verified,Use with style_tags such as relaxed or streetwear.
R117,retained_or_rewritten,,Reassessed against its source and either conservatively rewritten into the replacement KB or superseded by a stronger rule.,false,"For a formal shirt or evening top, recommend a dinner jacket, tuxedo jacket or tailored formal layer when the request is black tie.",tops,outerwear,formal_evening_styling,"formal, polished, classic","black, white, navy","formal, evening, black tie",all season,menswear,tailored,formal,"formal shirt, dinner jacket, tuxedo jacket, black tie outerwear",fashion_magazine,Black tie dress code explained,British GQ,2024,https://www.gq-magazine.co.uk/article/black-tie-guide,high,Highly reputable menswear editorial source explaining formal dress-code conventions.,"The source explains black tie through dinner jacket, formal shirt and black patent shoes.",Best for black-tie top-to-outerwear matching.,May not apply to black-tie optional or creative variants.,verified,Use with high formality filter.
R118,retained_or_rewritten,K006|K025,Reassessed against its source and either conservatively rewritten into the replacement KB or superseded by a stronger rule.,false,"For a work shirt or blouse, recommend a blazer or tailored jacket because workwear styling benefits from structured outerwear.",tops,outerwear,workwear_styling,"business casual, polished, tailored","black, navy, grey, neutral","work, business casual",all season,general,tailored,business casual,"work shirt, blouse, blazer, tailored jacket, office outfit",fashion_magazine,What Does Business Casual Attire Mean in 2025? A Guide for Men,GQ,2025,https://www.gq.com/story/business-casual-attire-for-men-explained,high,Reputable menswear editorial source giving dress-code guidance for work and business-casual contexts.,The source includes blazers and smart-looking pieces as business-casual staples.,Best for workwear outerwear recommendations.,May not apply to casual workplaces.,verified,"Retrieve when user request includes office, work, business casual."
R119,retained_or_rewritten,K027,Reassessed against its source and either conservatively rewritten into the replacement KB or superseded by a stronger rule.,false,"For shoes that signal formal eveningwear, recommend outerwear that preserves formal tone, such as a tailored coat rather than a casual puffer.",shoes,outerwear,formality_matching,"formal, polished, classic","black, navy, neutral","formal, evening, black tie","autumn, winter",general,layering,formal,"formal shoes, tailored coat, evening outerwear, formality match",fashion_magazine,The Vogue Guide To A Black-Tie Dress Code,British Vogue,2025,https://www.vogue.co.uk/article/black-tie-dress-code,high,Highly reputable fashion editorial source explaining formal evening dress-code conventions.,The source frames black tie as formal eveningwear with a clear sense of occasion.,Best for formal shoe-to-outerwear matching.,May not apply to outdoor events requiring technical warmth.,verified,Use shoe formality to constrain outerwear.
R120,retained_or_rewritten,,Reassessed against its source and either conservatively rewritten into the replacement KB or superseded by a stronger rule.,false,"For casual trainers, recommend casual outerwear such as a bomber, denim jacket or relaxed coat when the request is daytime casual.",shoes,outerwear,casual_daytime_styling,"casual, relaxed, streetwear","denim, black, neutral","casual, daytime, travel","spring, autumn, winter",unisex,relaxed fit,casual,"trainers, bomber jacket, denim jacket, casual outerwear",fashion_magazine,How to style chinos and trainers,British GQ,2026,https://www.gq-magazine.co.uk/article/how-to-style-chinos-and-trainers,medium,"Reputable menswear editorial source, but rule is style-editorial rather than formal dress-code evidence.",The source discusses trainers within smart-casual styling rather than formal codes.,Best for casual shoe-to-outerwear completion.,May not apply to dressy trainers used in smart-casual outfits.,verified,Use formality and style tags together.
R121,retained_or_rewritten,,Reassessed against its source and either conservatively rewritten into the replacement KB or superseded by a stronger rule.,false,"For loafers, recommend outerwear that matches the intended reading: blazer for polished smart casual or casual jacket for relaxed denim outfits.",shoes,outerwear,smart_casual_styling,"smart casual, classic, relaxed","black, brown, navy, neutral","smart casual, work, daytime",all season,menswear,balanced silhouette,smart casual,"loafers, blazer, casual jacket, denim outfit, polished outerwear",fashion_magazine,How to wear loafers and look like a grownup,British GQ,2026,https://www.gq-magazine.co.uk/article/how-to-wear-loafers,medium,"Reputable menswear editorial source, but loafer styling guidance is contextual and partly trend-sensitive.",The source explains that loafer shape and styling can read more casual or more formal.,Best for loafer-based smart-casual outfits.,May not apply to black-tie shoes or sandals.,verified,Use shoe style and desired formality to pick outerwear.
R122,legacy_accessory_ontology,K028,Removed or replaced because the row mixes bags with non-bag accessories or uses the retired accessories label.,false,"For refined accessories such as a structured bag or evening jewellery, recommend outerwear with equivalent polish, such as a tailored coat or blazer.",accessories,outerwear,style_consistency,"polished, elegant, structured","black, neutral, metallic","work, evening, smart casual","autumn, winter, all season",womenswear,tailored,smart casual,"structured bag, evening jewellery, tailored coat, blazer, polish",academic_paper,Supporting stylists by recommending fashion style,Tobias Kuhn et al.,2019,https://arxiv.org/abs/1908.09493,high,Industry-authored academic paper describing stylist support and style-fit recommendation using expert practice.,The source treats style fit as a key concern for stylist-supported item recommendation.,Best for accessory-to-outerwear style consistency.,Does not specify exact outerwear; combine with dress-code evidence.,verified,Use to justify style-fit scoring.
R123,legacy_accessory_ontology,,Removed or replaced because the row mixes bags with non-bag accessories or uses the retired accessories label.,false,"For winter accessories such as scarves or gloves, recommend outerwear that supports layering and seasonal warmth.",accessories,outerwear,seasonal_layering,"classic, relaxed, practical","neutral, earth tones, tonal","winter, travel, daytime",winter,general,layering,general,"scarf, gloves, winter coat, seasonal layering, warmth",retailer_style_guide,How to Wear Dresses in Winter,Stitch Fix,2021,https://www.stitchfix.com/women/blog/fashion-tips/how-to-wear-dresses-in-winter,medium,"Established styling service with seasonal dressing guidance, but commercial retailer context.",The source discusses winter outfits using coats and layering for warmth.,Best for winter accessory-to-outerwear recommendations.,May not apply to mild climates or indoor-only looks.,verified,Use with season_tags winter.
R124,legacy_accessory_ontology,K037,Removed or replaced because the row mixes bags with non-bag accessories or uses the retired accessories label.,false,"For an evening clutch or metallic accessory, recommend formal outerwear such as a tailored coat or wrap because the accessory already signals elevated occasion dressing.",accessories,outerwear,formal_evening_styling,"formal, elegant, polished","metallic, black, neutral","evening, party, formal","autumn, winter, all season",womenswear,layering,evening,"evening clutch, metallic accessory, tailored coat, evening wrap",retailer_style_guide,The Harrods Guide to Women’s Black-Tie Dress Codes,Harrods,unknown,https://www.harrods.com/en-gb/c/stories/women/black-tie-dress-code-guide,medium,"Established luxury retailer with expert style guidance, but commercial context and limited date clarity.",The source discusses black-tie shoes and accessories as part of evening dress-code styling.,Best for evening accessory-to-outerwear recommendations.,May not apply to casual metallic accessories.,verified,Use accessory formality to select outerwear.
R125,citation_overreach,,Removed because the cited evidence supports a general method or design concept but not the concrete styling prescription.,false,"For outerwear recommendation in a complete-look system, select outerwear as a complementary category item rather than treating it as a substitute for tops or dresses.",tops,outerwear,style_consistency,"general, coordinated","neutral, complementary","casual, work, evening",all season,general,layering,general,"outerwear recommendation, complementary item, complete the look, category diversity",academic_paper,Bootstrapping Complete the Look at Pinterest,Pinterest Research,2020,https://arxiv.org/abs/2006.10792,high,Industry-scale academic paper on complementary fashion item recommendation and complete-the-look tasks.,The paper studies complete-the-look recommendation of complementary fashion items.,Best for academic justification of target outerwear retrieval.,Does not prescribe exact jacket or coat type.,verified,Use as system-level evidence for category-aware retrieval.
R126,citation_overreach,,Removed because the cited evidence supports a general method or design concept but not the concrete styling prescription.,false,"For colour-compatible outerwear, recommend coats or jackets whose dominant colour harmonises with the existing outfit palette because colour compatibility contributes to outfit compatibility.",tops,outerwear,colour_coordination,"general, coordinated","neutral, tonal, complementary, contrast","casual, work, evening",all season,general,layering,general,"outerwear colour, coat colour, palette, colour compatibility",academic_paper,Learning Color Compatibility in Fashion Outfits,"Heming Zhang, Xuewen Yang, Jianchao Tan, Chi-Hao Wu, Jue Wang, C.-C. Jay Kuo",2020,https://arxiv.org/abs/2007.02388,high,Academic paper explicitly modelling colour compatibility as an outfit recommendation signal.,The paper shows colour compatibility is a useful signal for evaluating outfit compatibility.,Best for colour-aware outerwear reranking.,Requires reliable colour extraction or metadata.,verified,Use as academic grounding for colour feature integration.
